Date,Open,High,Low,Close,Adj Close,Volume
1989-06-19,1629.099976,1629.099976,1629.099976,1629.099976,1629.099976,0
1989-06-20,1634.099976,1634.099976,1634.099976,1634.099976,1634.099976,0
1989-06-21,1645.400024,1645.400024,1645.400024,1645.400024,1645.400024,0
1989-06-22,1657.800049,1657.800049,1657.800049,1657.800049,1657.800049,0
1989-06-23,1662.500000,1662.500000,1662.500000,1662.500000,1662.500000,0
1989-06-26,1653.400024,1653.400024,1653.400024,1653.400024,1653.400024,0
1989-06-27,1646.599976,1646.599976,1646.599976,1646.599976,1646.599976,0
1989-06-28,1652.599976,1652.599976,1652.599976,1652.599976,1652.599976,0
1989-06-29,1652.599976,1652.599976,1652.599976,1652.599976,1652.599976,0
1989-06-30,1638.900024,1638.900024,1638.900024,1638.900024,1638.900024,0
1989-07-03,1653.099976,1653.099976,1653.099976,1653.099976,1653.099976,0
1989-07-04,1666.699951,1666.699951,1666.699951,1666.699951,1666.699951,0
1989-07-05,1666.800049,1666.800049,1666.800049,1666.800049,1666.800049,0
1989-07-06,1675.199951,1675.199951,1675.199951,1675.199951,1675.199951,0
1989-07-07,1687.699951,1687.699951,1687.699951,1687.699951,1687.699951,0
1989-07-10,1689.500000,1689.500000,1689.500000,1689.500000,1689.500000,0
1989-07-11,1701.400024,1701.400024,1701.400024,1701.400024,1701.400024,0
1989-07-12,1711.900024,1711.900024,1711.900024,1711.900024,1711.900024,0
1989-07-13,1705.699951,1705.699951,1705.699951,1705.699951,1705.699951,0
1989-07-14,1709.099976,1709.099976,1709.099976,1709.099976,1709.099976,0
1989-07-17,1718.000000,1718.000000,1718.000000,1718.000000,1718.000000,0
1989-07-18,1723.800049,1723.800049,1723.800049,1723.800049,1723.800049,0
1989-07-19,1731.800049,1731.800049,1731.800049,1731.800049,1731.800049,0
1989-07-20,1736.500000,1736.500000,1736.500000,1736.500000,1736.500000,0
1989-07-21,1747.500000,1747.500000,1747.500000,1747.500000,1747.500000,0
1989-07-24,1764.300049,1764.300049,1764.300049,1764.300049,1764.300049,0
1989-07-25,1756.199951,1756.199951,1756.199951,1756.199951,1756.199951,0
1989-07-26,1773.699951,1773.699951,1773.699951,1773.699951,1773.699951,0
1989-07-27,1786.900024,1786.900024,1786.900024,1786.900024,1786.900024,0
1989-07-28,1798.699951,1798.699951,1798.699951,1798.699951,1798.699951,0
1989-07-31,1795.400024,1795.400024,1795.400024,1795.400024,1795.400024,0
1989-08-01,1795.400024,1795.400024,1795.400024,1795.400024,1795.400024,0
1989-08-02,1802.199951,1802.199951,1802.199951,1802.199951,1802.199951,0
1989-08-03,1817.400024,1817.400024,1817.400024,1817.400024,1817.400024,0
1989-08-04,1816.599976,1816.599976,1816.599976,1816.599976,1816.599976,0
1989-08-07,1829.400024,1829.400024,1829.400024,1829.400024,1829.400024,0
1989-08-08,1843.599976,1843.599976,1843.599976,1843.599976,1843.599976,0
1989-08-09,1875.800049,1875.800049,1875.800049,1875.800049,1875.800049,0
1989-08-10,1864.099976,1864.099976,1864.099976,1864.099976,1864.099976,0
1989-08-11,1872.900024,1872.900024,1872.900024,1872.900024,1872.900024,0
1989-08-14,1849.400024,1849.400024,1849.400024,1849.400024,1849.400024,0
1989-08-15,1828.900024,1828.900024,1828.900024,1828.900024,1828.900024,0
1989-08-16,1848.300049,1848.300049,1848.300049,1848.300049,1848.300049,0
1989-08-17,1849.500000,1849.500000,1849.500000,1849.500000,1849.500000,0
1989-08-18,1847.400024,1847.400024,1847.400024,1847.400024,1847.400024,0
1989-08-21,1847.400024,1847.400024,1847.400024,1847.400024,1847.400024,0
1989-08-22,1865.699951,1865.699951,1865.699951,1865.699951,1865.699951,0
1989-08-23,1891.599976,1891.599976,1891.599976,1891.599976,1891.599976,0
1989-08-24,1895.800049,1895.800049,1895.800049,1895.800049,1895.800049,0
1989-08-25,1904.800049,1904.800049,1904.800049,1904.800049,1904.800049,0
1989-08-28,1910.199951,1910.199951,1910.199951,1910.199951,1910.199951,0
1989-08-29,1897.900024,1897.900024,1897.900024,1897.900024,1897.900024,0
1989-08-30,1859.699951,1859.699951,1859.699951,1859.699951,1859.699951,0
1989-08-31,1880.099976,1880.099976,1880.099976,1880.099976,1880.099976,0
1989-09-01,1876.900024,1876.900024,1876.900024,1876.900024,1876.900024,0
1989-09-04,1892.900024,1892.900024,1892.900024,1892.900024,1892.900024,0
1989-09-05,1897.900024,1897.900024,1897.900024,1897.900024,1897.900024,0
1989-09-06,1901.199951,1901.199951,1901.199951,1901.199951,1901.199951,0
1989-09-07,1892.300049,1892.300049,1892.300049,1892.300049,1892.300049,0
1989-09-08,1883.400024,1883.400024,1883.400024,1883.400024,1883.400024,0
1989-09-11,1876.300049,1876.300049,1876.300049,1876.300049,1876.300049,0
1989-09-12,1851.300049,1851.300049,1851.300049,1851.300049,1851.300049,0
1989-09-13,1830.400024,1830.400024,1830.400024,1830.400024,1830.400024,0
1989-09-14,1816.000000,1816.000000,1816.000000,1816.000000,1816.000000,0
1989-09-15,1822.000000,1822.000000,1822.000000,1822.000000,1822.000000,0
1989-09-18,1835.599976,1835.599976,1835.599976,1835.599976,1835.599976,0
1989-09-19,1857.099976,1857.099976,1857.099976,1857.099976,1857.099976,0
1989-09-20,1853.300049,1853.300049,1853.300049,1853.300049,1853.300049,0
1989-09-21,1845.900024,1845.900024,1845.900024,1845.900024,1845.900024,0
1989-09-22,1845.400024,1845.400024,1845.400024,1845.400024,1845.400024,0
1989-09-25,1844.500000,1844.500000,1844.500000,1844.500000,1844.500000,0
1989-09-26,1821.099976,1821.099976,1821.099976,1821.099976,1821.099976,0
1989-09-27,1791.099976,1791.099976,1791.099976,1791.099976,1791.099976,0
1989-09-28,1804.900024,1804.900024,1804.900024,1804.900024,1804.900024,0
1989-09-29,1796.800049,1796.800049,1796.800049,1796.800049,1796.800049,0
1989-10-02,1774.900024,1774.900024,1774.900024,1774.900024,1774.900024,0
1989-10-03,1785.599976,1785.599976,1785.599976,1785.599976,1785.599976,0
1989-10-04,1806.300049,1806.300049,1806.300049,1806.300049,1806.300049,0
1989-10-05,1828.900024,1828.900024,1828.900024,1828.900024,1828.900024,0
1989-10-06,1841.699951,1841.699951,1841.699951,1841.699951,1841.699951,0
1989-10-09,1844.199951,1844.199951,1844.199951,1844.199951,1844.199951,0
1989-10-10,1835.800049,1835.800049,1835.800049,1835.800049,1835.800049,0
1989-10-11,1815.599976,1815.599976,1815.599976,1815.599976,1815.599976,0
1989-10-12,1818.800049,1818.800049,1818.800049,1818.800049,1818.800049,0
1989-10-13,1814.199951,1814.199951,1814.199951,1814.199951,1814.199951,0
1989-10-16,1623.400024,1623.400024,1623.400024,1623.400024,1623.400024,0
1989-10-17,1705.400024,1705.400024,1705.400024,1705.400024,1705.400024,0
1989-10-18,1714.400024,1714.400024,1714.400024,1714.400024,1714.400024,0
